ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
156,679877.1888,4164404.088,26.8,679895.5525,4164404.376,27,0,2,1,1.61702314154158e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,679895.5525,4164404.376,27,679905.177,4164404.474,27.1,0,2,1,3.04400649523498e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,679905.177,4164404.474,27.1,679923.6242,4164404.986,27.3,0,2,1,1.58219478271661e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,679923.6242,4164404.986,27.3,679942.5103,4164405.618,27.2,0,2,1,1.78864269485181e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,679942.5103,4164405.618,27.2,679956.5438,4164406.034,27,0,2,1,2.40011379986459e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,679956.5438,4164406.034,27,679970.403,4164406.335,26.7,0,2,1,2.32226197963579e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,679970.403,4164406.335,26.7,679984.174,4164406.634,26.5,0,2,1,2.19226580051493e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,679984.174,4164406.634,26.5,679988.8526,4164406.736,26.4,0,2,1,5.59735576094145e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,679988.8526,4164406.736,26.4,680006.5102,4164407.008,26.5,0,2,1,2.02152575093199e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,680006.5102,4164407.008,26.5,680015.6933,4164407.097,26.5,0,2,1,3.59339903468993e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,680015.6933,4164407.097,26.5,680033.0001,4164407.251,26.9,0,2,1,1.94660880869321e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,680033.0001,4164407.251,26.9,680042.0066,4164407.336,27.1,0,2,1,3.13015192204341e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,680042.0066,4164407.336,27.1,680058.5118,4164407.805,27,0,2,1,1.24151208543671e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,680058.5118,4164407.805,27,680067.1628,4164407.994,26.9,0,2,1,1.96449215263404e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,680067.1628,4164407.994,26.9,680083.0548,4164408.228,27.2,0,2,1,6.91972228187809e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,680083.0548,4164408.228,27.2,680091.441,4164408.41,27.3,0,2,1,9.96570922715025e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,680091.441,4164408.41,27.3,680106.102,4164408.396,27.7,0,2,1,5.07961669155172e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
