ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
153,624965.3587,4270401.066,10.7,624965.695,4270401.849,11.1,0,2,1,1.06297971783038e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,624965.695,4270401.849,11.1,624965.519,4270401.957,11.1,0,2,1,4.84039288500969e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,624965.519,4270401.957,11.1,624965.1775,4270401.508,10.9,0,2,1,1.67006634278424e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,624965.1775,4270401.508,10.9,624965.0067,4270401.283,10.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,624965.0067,4270401.283,10.7,624964.9214,4270401.171,10.6,0,2,1,5.7823284548522e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,624964.9214,4270401.171,10.6,624965.0085,4270401.172,10.6,0,2,1,1.14776030931222e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,624965.0085,4270401.172,10.6,624965.0939,4270401.284,10.7,0,2,1,1.73469853645566e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,624965.0939,4270401.284,10.7,624965.4215,4270402.621,10.8,0,2,1,2.89795911048522e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,624965.4215,4270402.621,10.8,624966.0001,4270404.628,10.9,0,2,1,1.91283973039048e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,624966.0001,4270404.628,10.9,624967.4413,4270407.204,11.2,0,2,1,2.02262779585468e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,624967.4413,4270407.204,11.2,624969.4852,4270410.233,11.4,0,2,1,1.09304868740918e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,624969.4852,4270410.233,11.4,624970.1666,4270411.242,11.5,0,2,1,8.18260464840072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,624970.1666,4270411.242,11.5,624976.1936,4270415.887,11.7,0,2,1,7.88236815462613e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,624976.1936,4270415.887,11.7,624983.8008,4270419.78,11.9,0,2,1,5.84952067651184e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,624983.8008,4270419.78,11.9,624990.7354,4270422.108,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,624990.7354,4270422.108,12,624998.6317,4270424.23,11.9,0,2,1,8.56071914497284e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,624998.6317,4270424.23,11.9,625007.1378,4270426.36,11.8,0,2,1,6.84189237911692e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
